country,year,category,event,summary
Almanya,1915,Time 100,Albert Einstein,General Relativity teorisini yayınlayarak fizik anlayışımızı değiştirdi. Yüzyılın İnsanı seçildi.
Hindistan,1947,Time 100,Mahatma Gandhi,Şiddetsizlik eylemleriyle Hindistan'ın bağımsızlığını kazandırdı ve dünya çapında sivil haklar hareketlerine ilham verdi.
ABD,1933,Time 100,Franklin D. Roosevelt,Büyük Buhran ve II. Dünya Savaşı sırasında ABD'ye liderlik etti.
Birleşik Krallık,1940,Time 100,Winston Churchill,II. Dünya Savaşı'nda Nazi Almanyası'na karşı İngiltere'nin direnişini yönetti.
Almanya,1933,Time 100,Adolf Hitler,Nazi Almanya'sının lideri. II. Dünya Savaşı'nı başlattı ve Holokost'u gerçekleştirdi.
Güney Afrika,1994,Time 100,Nelson Mandela,Apartheid rejimini yıktı ve Güney Afrika'nın ilk siyah başkanı oldu.
ABD,1963,Time 100,Martin Luther King Jr.,ABD'de sivil haklar hareketinin lideri. 'Bir Hayalim Var' konuşmasıyla tarihe geçti.
Birleşik Krallık,1964,Time 100,The Beatles,Rock müzik ve pop kültüründe devrim yaratan İngiliz müzik grubu.
ABD,1974,Time 100,Muhammad Ali,Boks dünyasının efsanesi ve sivil haklar savunucusu.
ABD,1903,Time 100,Wright Kardeşler,İlk motorlu uçuşu gerçekleştirerek havacılık çağını başlattılar.
ABD,1975,Time 100,Bill Gates,Microsoft'u kurarak kişisel bilgisayar devrimini başlattı.
Birleşik Krallık,1989,Time 100,Tim Berners-Lee,World Wide Web'i (WWW) icat ederek bilgi çağını başlattı.
İspanya,1937,Time 100,Pablo Picasso,Modern sanatın en etkili ressamlarından biri. Guernica ile savaşın dehşetini anlattı.
Fransa,1920,Time 100,Coco Chanel,Moda dünyasında devrim yaratarak modern kadının giyim tarzını değiştirdi.
ABD,1950,Time 100,Marilyn Monroe,Popüler kültürün en büyük ikonlarından biri haline gelen sinema yıldızı.
Hindistan,1979,Time 100,Rahibe Teresa,Hayatını yoksullara ve hastalara yardıma adayan Nobel Barış Ödülü sahibi rahibe.
Polonya,1978,Time 100,Papa II. Jean Paul,Komünizmin çöküşünde rol oynayan ve dinler arası diyaloğu savunan Papa.
Rusya,1985,Time 100,Mihail Gorbaçov,Glasnost ve Perestroika politikalarıyla Soğuk Savaş'ı bitiren Sovyet lideri.
Birleşik Krallık,1981,Time 100,Prenses Diana,Hayırseverlik çalışmaları ve trajik ölümüyle dünyanın en çok konuşulan kadınlarından biri.
Küba,1959,Time 100,Che Guevara,Küba Devrimi'nin liderlerinden ve karşı kültürün sembolü.
